Taxon	DNA.profile

UniRef90_A5ZYV3|g__Blautia.s__Ruminococcus_obeum	884.706

UniRef90_D4JRB7|g__Eubacterium.s__Eubacterium_siraeum	873.216

UniRef90_A8S699|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	873.216

UniRef90_A8S8X2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	873.216

UniRef90_A5ZYU0|g__Blautia.s__Ruminococcus_obeum	782.099

UniRef90_A5ZQM3|g__Blautia.s__Ruminococcus_obeum	525.995

UniRef90_A7B5X1|g__Blautia.s__Ruminococcus_gnavus	474.81

UniRef90_A5ZWU2|g__Blautia.s__Ruminococcus_obeum	459.588

UniRef90_C4ZF06|g__Eubacterium.s__Eubacterium_rectale	436.608

UniRef90_R6I7I3|g__Ruminococcus.s__Ruminococcus_bromii	436.608

UniRef90_C7H7M1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_R7EPH2|g__Bacteroides.s__Bacteroides_uniformis	436.608

UniRef90_C0BCA5|g__Coprococcus.s__Coprococcus_comes	436.608

UniRef90_D4V7Y3|g__Bacteroides.s__Bacteroides_vulgatus	436.608

UniRef90_C7H782|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_C7HAM9|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_D4X0M2|g__Bacteroides.s__Bacteroides_xylanisolvens	436.608

UniRef90_B0MJZ5|g__Eubacterium.s__Eubacterium_siraeum	436.608

UniRef90_C4ZAR7|g__Eubacterium.s__Eubacterium_rectale	436.608

UniRef90_C0EWA3|g__Eubacterium.s__Eubacterium_hallii	436.608

UniRef90_A7LRT5|g__Bacteroides.s__Bacteroides_ovatus	436.608

UniRef90_A7V896|g__Bacteroides.s__Bacteroides_uniformis	436.608

UniRef90_C4ZFG5|g__Eubacterium.s__Eubacterium_rectale	436.608

UniRef90_R5DQX5|g__Ruminococcus.s__Ruminococcus_bromii	436.608

UniRef90_F7JHK1|g__Dorea.s__Dorea_formicigenerans	436.608

UniRef90_E2ZMP4|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_A7V4G2|g__Bacteroides.s__Bacteroides_uniformis	436.608

UniRef90_G1WQE9|g__Dorea.s__Dorea_formicigenerans	436.608

UniRef90_C0BAG8|g__Coprococcus.s__Coprococcus_comes	436.608

UniRef90_C7H970|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_A7V3C2|g__Bacteroides.s__Bacteroides_uniformis	436.608

UniRef90_K6B179|g__Bacteroides.s__Bacteroides_vulgatus	436.608

UniRef90_C0FN95|g__Dorea.s__Dorea_formicigenerans	436.608

UniRef90_E2ZFZ7|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	436.608

UniRef90_B0MPV4|g__Eubacterium.s__Eubacterium_siraeum	436.608

UniRef90_R5DGD2|g__Parabacteroides.s__Parabacteroides_johnsonii	436.608

UniRef90_R6HJN5|g__Bacteroides.s__Bacteroides_dorei	436.608

UniRef90_B0MRR8|g__Eubacterium.s__Eubacterium_siraeum	436.608

UniRef90_B0MQ70|g__Eubacterium.s__Eubacterium_siraeum	436.608

UniRef90_C4ZFG5|g__Eubacterium.s__Eubacterium_ramulus	436.608

UniRef90_B0NKY2|g__Bacteroides.s__Bacteroides_stercoris	436.608

UniRef90_C0FNI8|g__Roseburia.s__Roseburia_intestinalis	436.608

UniRef90_B0MK18|g__Eubacterium.s__Eubacterium_siraeum	436.608

UniRef90_B3JII1|g__Parabacteroides.s__Parabacteroides_distasonis	363.84

UniRef90_A7LQH0|g__Bacteroides.s__Bacteroides_ovatus	363.84

UniRef90_B0G211|g__Dorea.s__Dorea_formicigenerans	338.148

UniRef90_A6BKY7|g__Dorea.s__Dorea_longicatena	330.241

UniRef90_B0MSC9|g__Eubacterium.s__Eubacterium_siraeum	327.456

UniRef90_A6BF00|g__Dorea.s__Dorea_longicatena	311.863

UniRef90_D4JUU4|g__Eubacterium.s__Eubacterium_siraeum	291.072

UniRef90_UPI0001FABDB5|g__Dorea.s__Dorea_longicatena	250.162

UniRef90_C9L0T5|g__Bacteroides.s__Bacteroides_finegoldii	249.49

UniRef90_E5VM23|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	245.988

UniRef90_C4ZER8|g__Eubacterium.s__Eubacterium_rectale	229.219

UniRef90_A7B6K2|g__Dorea.s__Dorea_longicatena	228.903

UniRef90_C7GII1|g__Roseburia.s__Roseburia_intestinalis	218.386

UniRef90_U4D938|g__Blautia.s__Ruminococcus_obeum	218.304

UniRef90_E2ZL54|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	218.304

UniRef90_C3RFW3|g__Parabacteroides.s__Parabacteroides_distasonis	218.304

UniRef90_A0A015WA23|g__Bacteroides.s__Bacteroides_fragilis	218.304

UniRef90_D4JJT5|g__Eubacterium.s__Eubacterium_rectale	218.304

UniRef90_A5ZRM6|g__Blautia.s__Ruminococcus_obeum	218.304

UniRef90_R9IAZ8|g__Bacteroides.s__Bacteroides_massiliensis	218.304

UniRef90_A7UXW6|g__Bacteroides.s__Bacteroides_uniformis	218.304

UniRef90_C9KZX3|g__Bacteroides.s__Bacteroides_finegoldii	218.304

UniRef90_A5ZQM1|g__Blautia.s__Ruminococcus_obeum	208.857

UniRef90_E2SRA8|g__Roseburia.s__Roseburia_intestinalis	206.814

UniRef90_I9GGP8|g__Bacteroides.s__Bacteroides_fragilis	206.176

UniRef90_A6BKY9|g__Dorea.s__Dorea_longicatena	201.527

UniRef90_A8S630|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	192.835

UniRef90_UPI00015E6A9A|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	191.768

UniRef90_A8S6F0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	190.555

UniRef90_A8SA17|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	187.118

UniRef90_C7HA93|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	187.118

UniRef90_A8S7R2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	185.272

