species,protein,read_counts
unknown,lincosamide nucleotidyltransferase Lnu(C),3
unknown,trimethoprim-resistant dihydrofolate reductase DfrF,1
unknown,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),3
unknown,ANT(9) family aminoglycoside nucleotidyltransferase,3
unknown,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
unknown,VanA-type vancomycin resistance DNA-binding response regulator VanR,1
unknown,aminoglycoside nucleotidyltransferase ANT(6)-Ib,1
unknown,tetracycline efflux MFS transporter Tet(40),5
unknown,tetracycline resistance ribosomal protection protein Tet(W),4
unknown,ABC-F type ribosomal protection protein Lsa(E),1
unknown,VanG-type vancomycin resistance DNA-binding response regulator VanR,1
unknown,tetracycline resistance ribosomal protection protein Tet(Q),2
unknown,aminoglycoside O-phosphotransferase APH(3')-IIIa,1
unknown,tetracycline resistance ribosomal protection protein Tet(O),26
unknown,tetracycline resistance ribosomal protection protein Tet(32),1
Bacteroides salyersiae,macrolide efflux MFS transporter Mef(En2),10
Bacteroides salyersiae,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F),1
Bacteroides salyersiae,lincosamide nucleotidyltransferase Lnu(AN2),4
Bacteroides salyersiae,tetracycline-inactivating monooxygenase Tet(X),4
Bacteroides salyersiae,tetracycline resistance ribosomal protection protein Tet(Q),7
[Eubacterium] siraeum,tetracycline resistance ribosomal protection protein Tet(W),1
[Eubacterium] siraeum,VanG-type vancomycin resistance histidine kinase VanS,2
[Eubacterium] siraeum,VanG-type vancomycin resistance DNA-binding response regulator VanR,2
[Eubacterium] siraeum,tetracycline resistance ribosomal protection protein Tet(O),3
[Eubacterium] siraeum,VanD-type vancomycin resistance histidine kinase VanS,5
[Eubacterium] siraeum,aminoglycoside N-acetyltransferase AAC(6')-Iad,2
[Eubacterium] siraeum,VanD-type vancomycin resistance DNA-binding response regulator VanR,8
[Eubacterium] siraeum,glycopeptide resistance accessory protein VanW-G,2
Bacteroides stercoris,tetracycline resistance ribosomal protection protein Tet(Q),23
Faecalibacterium prausnitzii,aminoglycoside nucleotidyltransferase ANT(6)-Ib,1
Faecalibacterium prausnitzii,aminoglycoside 6-adenylyltransferase AadE,1
Faecalibacterium prausnitzii,tetracycline resistance ribosomal protection protein Tet(W),17
,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
,membrane-bound serine racemase VanT-G,1
,macrolide efflux MFS transporter Mef(En2),4
,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F),1
,D-alanine--(R)-lactate ligase VanD,1
,tetracycline resistance ribosomal protection protein Tet(W),6
,lincosamide nucleotidyltransferase Lnu(AN2),2
,tetracycline resistance ribosomal protection protein Tet(Q),2
Bacteroides uniformis,lincosamide nucleotidyltransferase Lnu(AN2),1
Bacteroides uniformis,CblA family class A beta-lactamase,7
Bacteroides uniformis,macrolide efflux MFS transporter Mef(En2),3
Bacteroides uniformis,tetracycline resistance ribosomal protection protein Tet(Q),2
Bacteroides uniformis,CfxA family class A broad-spectrum beta-lactamase,1
uncultured Clostridium sp.,tetracycline efflux MFS transporter Tet(40),1
uncultured Clostridium sp.,tetracycline resistance ribosomal protection protein Tet(O),3
uncultured Clostridium sp.,tetracycline resistance ribosomal protection protein Tet(W),9
Firmicutes bacterium AM55-24TS,tetracycline efflux MFS transporter Tet(40),7
Firmicutes bacterium AM55-24TS,tetracycline resistance ribosomal protection protein Tet(O),4
Firmicutes bacterium AM55-24TS,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),2
Bacteroides vulgatus,CfxA family class A broad-spectrum beta-lactamase,8
Bacteroides vulgatus,tetracycline resistance ribosomal protection protein Tet(Q),4
Bacteroides vulgatus,macrolide efflux MFS transporter Mef(En2),1
Bacteroides massiliensis,CfxA family class A broad-spectrum beta-lactamase,4
Bacteroides massiliensis,tetracycline resistance ribosomal protection protein Tet(Q),7
Blautia obeum,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
Blautia obeum,tetracycline resistance ribosomal protection protein Tet(O),9
Coprococcus comes,VanG-type vancomycin resistance DNA-binding response regulator VanR,1
Coprococcus comes,tetracycline resistance ribosomal protection protein Tet(W),9
Gemmiger formicilis,tetracycline resistance ribosomal protection protein Tet(W),10
Fusicatenibacter saccharivorans,tetracycline resistance ribosomal protection protein Tet(W),5
Fusicatenibacter saccharivorans,tetracycline resistance ribosomal protection protein Tet(O),5
Monoglobus pectinilyticus,tetracycline efflux MFS transporter Tet(40),4
Monoglobus pectinilyticus,tetracycline resistance ribosomal protection protein Tet(O),2
Monoglobus pectinilyticus,tetracycline resistance ribosomal protection protein Tet(W),3
Ruminococcus bromii,tetracycline resistance ribosomal protection protein Tet(W),5
Ruminococcus bromii,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
Ruminococcus bromii,VanG-type vancomycin resistance histidine kinase VanS,1
Ruminococcus bromii,VanD-type vancomycin resistance histidine kinase VanS,2
Roseburia intestinalis,tetracycline resistance ribosomal protection protein Tet(O),7
Roseburia intestinalis,tetracycline efflux MFS transporter Tet(40),1
Agathobaculum butyriciproducens,tetracycline resistance ribosomal protection protein Tet(W),8
Clostridia bacterium UC5.1-1D4,transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D,1
Clostridia bacterium UC5.1-1D4,D-Ala-D-Ala dipeptidase VanX-D,2
Clostridia bacterium UC5.1-1D4,VanD-type vancomycin resistance histidine kinase VanS,1
Clostridia bacterium UC5.1-1D4,tetracycline resistance ribosomal protection protein Tet(O),1
